issue_id,short_title,status_label,severity,release_blocker,affected_persona,environment,first_observed_period,expected_behaviour,actual_behaviour,reproduction_steps,reproduction_rate,evidence,root_cause,affected_surfaces,impact,smallest_complete_fix,dependencies_migrations_config,effort_estimate,tests_to_prove_fix,rollback_containment,owner_discipline
DIA-011,CSP retains unsafe-inline/unsafe-eval; ACAO * on HTML,VERIFIED,P3,no,All visitors,Production headers,Ongoing,Nonce/hash-based script-src; no wildcard ACAO,script-src includes 'unsafe-inline' 'unsafe-eval'; access-control-allow-origin: * on HTML responses,curl -sI https://drawintheair.com/,Deterministic,findings/web.md headers,Third-party snippets (GTM/Clarity/Pixel) + WASM eval convenience,vercel.json headers,XSS blast-radius larger than necessary; low immediate risk,Move inline snippets to files with hashes; test wasm-unsafe-eval instead of unsafe-eval; drop ACAO on HTML,None,M,"check:csp + manual load with strict CSP, zero violations",Revert header block,Security engineering
DIA-012,Signup->trial broken: role-metadata gate skips new accounts (instant paywall),VERIFIED,P1,yes,New parents,Supabase production (trigger) + signup client,All 3 signups in 15 Jul-15 Aug lookback,Every parent signup starts a trial,Signup-trial trigger fires only when user metadata role='parent'; the 3 lookback signups have no role metadata (some signup path stopped stamping it) -> no trial row -> premium locks immediately,SELECT lookback auth users' raw_user_meta_data->>'role' (all null) vs trials table (no rows); read trigger def,3/3 lookback signups,findings/data-billing.md signup-trial section,RC-6: signup path changed (likely landing 'Try free' anonymous-first flow) without updating the trigger contract,"Signup flow (client), handle_new_user/trial trigger, subscriptions table",Every new parent since mid-July hit a paywall with no trial - direct conversion killer at the exact moment school-term acquisition starts,Make the trigger default missing role to 'parent' (or stamp role in all signup paths); backfill trials for the 3 affected accounts,Migration (trigger) + optional backfill UPDATE (founder approval),S,Test signup (each path) -> trial row exists; daily signups-vs-trials delta check added to digest,Trigger rollback migration,Backend engineering
DIA-013,Default lead-capture endpoint returns 404 in production,VERIFIED,P1,yes,Prospective schools/parents (lead forms),Production client -> app.drawintheair.com/api/form-submission,Unknown start; live-confirmed 2026-08-15 21:2x UTC,Contact / school-pilot form submissions are received and stored/notified,src/lib/formSubmission.ts:32-33 defaults to the app.drawintheair.com endpoint; GET returns 404 (POST path presumed dead too - not POSTed during audit to avoid test-data pollution); fallback chain unverified,curl -s -o /dev/null -w '%{http_code}' https://app.drawintheair.com/api/form-submission,Deterministic at audit time,findings/web.md; file:line formSubmission.ts:32-33,RC-4: endpoint lived on the retired second Vercel project; that project now serves a stale static build with no API routes,formSubmission.ts; contact/pilot forms; drawintheair-m34j Vercel project,School-pilot and contact leads silently lost during the back-to-school window,Point the client at a live endpoint (Supabase edge function or api/ on the production project) - requires redeploy; OR restore a functions deployment on the m34j project as a stopgap without client changes,Coupled to DIA-001 deploy; env var for endpoint URL,S-M,One controlled test submission arrives (row + notification email),Forms also capture via mailto fallback if present - verify,Full-stack
DIA-014,Premium + parental-controls bypass via ?screen=game&mode=,VERIFIED,P2,no,Parents (revenue); children (controls),Production client,"At 6a81fdf; dwell-path variant fixed in b285223 (in prod), URL path not",Entitlement + parental controls enforced wherever a mode can mount,Deep link ?screen=game&mode=<premium-mode> mounts the mode without paywall or parental-control checks (enforced only at menu),Load /play?screen=game&mode=<premium> in fresh profile (code-verified; live not exercised),Deterministic (code path),findings/product-code.md task 7,"Gating implemented in menu component, not at mode mount",Game shell mount logic; entitlement hook,Paywall revenue leak; parental controls circumventable by a shared URL,Move entitlement + controls check into the mode-mount path (single guard),None,S,Unit test: unentitled + URL param -> paywall; entitled -> mode,Feature-flag guard,Frontend
DIA-015,29 expired 'trialing' subscription zombies distort reporting,VERIFIED,P2,no,Founder (metrics); dashboards,Supabase production,All trial_end <= 8 Jul; never transitioned,Expired trials transition to lapsed/canceled,29 rows status='trialing' with trial_end in the past (latest 8 Jul); no transition job; status-based reports overcount,"SELECT status,count(*) FROM subscriptions GROUP BY 1; trial_end check",Deterministic,findings/data-billing.md subscriptions,RC-6: local trials (non-Stripe) have no lifecycle job; billing-health only reconciles Stripe-backed rows,subscriptions table; admin Growth/insights; digest,Every subscription metric wrong by an order of magnitude (29 vs 2); could mask real churn signals,One UPDATE to lapse expired trials + nightly transition in an existing cron; dashboards already split honestly (Growth tab does) once deployed,Founder approval for UPDATE; cron addition,S,Counts reconcile: trialing = rows with trial_end>now(),Status audit column/backup before UPDATE,Backend
DIA-016,app.drawintheair.com serves stale unauthenticated duplicate build,VERIFIED,P2,no,Anyone following product links; SEO,Vercel project drawintheair-m34j,Confirmed 2026-08-15,"Secondary host either retired, redirected, or serving an intentional app","Publicly reachable stale Vite build of the kid app (old asset hashes, older CSP, no auth wall); project rebuilds previews on every push; some product links target it; its 'production' alias serves the stale build; framework setting says nextjs",curl https://app.drawintheair.com/ and inspect asset hashes vs production,Deterministic,findings/web.md app-host section; Vercel project meta,RC-4: retired platform prototype project kept the subdomain,Vercel drawintheair-m34j; DNS app.*; formSubmission default (DIA-013); CSP connect-src,Users can land on an old buggy build (incl. children); confusion; dead API endpoints; duplicate-content risk contained by canonical,"Redirect app.drawintheair.com -> drawintheair.com at Vercel/Cloudflare (or pause the project), after DIA-013 endpoint is moved",Do AFTER DIA-013; DNS/Vercel domain config,S,app.* 308s to apex; no product link references remain (grep),Re-attach domain,Platform ops
DIA-017,"robots.txt prefix-blocks /schools, /schools/training, /parents",VERIFIED,P2,no,Schools/parents via search,Production robots.txt,Since robots rules added; confirmed 15 Aug,Core marketing pages crawlable and indexable,"Disallow: /school and Disallow: /parent prefix-match and block /schools, /schools/training, /parents - all sitemap-submitted prerendered pages",curl robots.txt; Google robots tester semantics (prefix match),Deterministic,findings/web.md robots section,Prefix semantics overlooked when hiding auth'd /school /parent app routes,public/robots.txt,Primary school-acquisition pages invisible to search during back-to-school season,Change to Disallow: /school$ (or /school/) style rules that don't prefix-block the marketing pages,Redeploy (static file),S,robots tester: /schools allowed; Search Console fetch OK,Revert file,SEO/frontend
DIA-018,/parents not prerendered (canonical->/); 6 PAGE_META orphans; duplicate-title twins,VERIFIED,P2,no,Search users,Production SEO surface,Since SSG deploy 20 Jul,Every sitemap URL renders its own prerendered content with self-canonical,/parents serves homepage shell canonical->/; 6 PAGE_META URLs live at 200 without router destinations (3 render homepage under wrong title; 3 duplicate-title seasonal twins e.g. /activities/christmas-drawing vs -for-kids),curl each URL; compare title/canonical,Deterministic,findings/web.md route-map orphans table,PAGE_META/sitemap/prerender inputs maintained separately (no single source of truth),src/entry-prerender.tsx inputs; PAGE_META; sitemap generator,Wasted crawl budget; key /parents page can never rank; duplicate-title dilution,Add /parents to prerender inputs; reconcile PAGE_META vs router (remove or route the 6 orphans); dedupe seasonal titles; add a build check asserting sitemap == prerendered == PAGE_META,Redeploy,S-M,Build check green; curl /parents shows own content + self-canonical,n/a,SEO/frontend
DIA-019,"Universal soft-404: unknown routes return 200 homepage (incl. /contact, /login)",VERIFIED,P2,no,Users following broken/guessed links; crawlers,Production routing,SPA contract since launch; measured 15 Aug,"Unknown routes render a 404 component (SPA can still 200, but not silently render the homepage); /contact and /login either exist or clearly 404","Every unknown path 200s with the prerendered homepage document, canonical->/ - a user typing /login or /contact silently gets the marketing homepage","curl /404-nonexistent-zzz, /contact, /login - all 200 homepage",Deterministic,findings/web.md soft-404 section,vercel.json rewrite serves index.html for everything; router lacks a catch-all NotFound,vercel.json rewrites; src/main.tsx dispatch,Misleading UX (a teacher told to 'log in at drawintheair.com/login' sees the homepage); soft-404 SEO noise,Add catch-all NotFound route with helpful links; optionally prerender a /404 and map it in Vercel,Redeploy,S,Unknown path renders NotFound (not homepage); /login redirects to real auth route,n/a,Frontend
DIA-020,Hand-tracking runtime is 100% third-party CDN with no fallback,VERIFIED,P1,yes,Schools on filtered networks (core September users),Production client + cdn.jsdelivr.net + storage.googleapis.com,Architecture since launch; confirmed at 6a81fdf,Core input works on school networks; model assets first-party or with fallback,"~19MB MediaPipe WASM + hand model load exclusively from jsdelivr + storage.googleapis.com (version-pinned 0.10.32, currently reachable); a school filter blocking either CDN bricks the entire product (camera loads, tracking never starts)",Code: tracker init URLs; block both hosts in devtools -> TrackerErrorScreen,Deterministic when blocked,findings/product-code.md task 3 + findings/web.md model HEAD checks,RC-5: CDN default from MediaPipe docs never revisited for school deployment,Tracker init; vite static assets; CSP script-src/connect-src,Entire product non-functional on a class set of filtered Chromebooks; teacher-facing failure on day one; error screen does say retry but cannot succeed,"Self-host WASM+model under /assets (immutable cache), keep CDN as fallback; update CSP; document required-hosts list for school IT in the setup guide either way",Redeploy; +19MB repo/dist weight; CSP edit,M,Block both CDNs -> product still reaches first gesture; bundle check,CDN path remains as fallback,Frontend/platform
DIA-021,activePlayerLock absent from production despite 'Phase 1 shipped' contract,VERIFIED,P2,no,Children in busy classrooms,Production client,At 6a81fdf (zero grep hits),"After wave-in, tracking locks to the primary child and rejects background hands (contract: Phase 1 shipped behind activePlayerLock flag)",No activePlayerLock code exists at this commit (only a plan reference in docs/EXECUTION_PLAN_DATA_TO_GROWTH.md:35); MediaPipe numHands=1 most-confident-hand-wins - a background hand can steal the cursor,grep -r activePlayerLock src/ (0 hits),Deterministic,findings/product-code.md task 3,RC-1: shipped on a branch/local tree that never reached this production lineage (or memory of shipping is wrong),Tracking pipeline; product contract docs,Classroom two-metre use degrades with bystanders; product contract overstates capability,Either implement Phase 1 per docs/PRIMARY_PLAYER_LOCK_ARCHITECTURE.md or correct the contract/marketing claims until it ships,None,L (real CV work) or S (contract correction),Two-person frame manual test: cursor stays with primary child,Flag OFF,CV/frontend
DIA-022,No camera-disconnect recovery mid-session (child dead-end),VERIFIED,P2,no,Children mid-game,Production client,At 6a81fdf,Unplugged/killed camera -> recovery screen with obvious next action,No track.onended or devicechange listener; state stays 'running'; child sees a perpetual 'I need to see your hands' toast,Code: camera manager has no ended/devicechange handlers; manual: unplug webcam mid-game,Deterministic (code),findings/product-code.md camera states,RC-5,src/camera manager; CameraRecovery,Real classroom event (USB webcams get knocked) traps a child; teacher must reload,Listen for track.onended + navigator.mediaDevices.devicechange -> route to existing CameraRecovery with 'camera lost' cause,None,S,Manual unplug test on device; unit test on handler wiring,n/a,Frontend
DIA-023,No non-camera input path; wave gate camera-only (access/SEND gap),VERIFIED,P2,no,Children who cannot use gesture input; classrooms with camera failures,Production client,Design-level; confirmed at 6a81fdf,An adult-assisted or alternative input path exists when camera/gesture is unavailable (product accessibility position),Only Magic Canvas has mouse fallback; all other modes and the wave gate itself require working camera + gesture,Activity inventory table (findings) - fallback column,Deterministic,findings/product-code.md task 4 inventory,RC-5,Game shell input layer; wave gate,SEND exclusion risk in classrooms; total loss on camera failure; weakens school accessibility story,Adult-gated 'mouse/touch mode' toggle that maps pointer to the cursor pipeline (input layer already abstracts a cursor),None,M,Complete one structured mode entirely by mouse; keyboard access to the toggle,Flag,Frontend/accessibility
DIA-024,Hidden URL-only modes; orphaned TracingMode v2; legacy engine fallback reachable,VERIFIED,P3,no,Maintainers; edge-case users,Production client,At 6a81fdf,One engine of record; unreachable code removed; hidden modes deliberate,Colour Builder + Building reachable only by URL param (untested surfaces live in prod); TracingMode v2 is dead code; legacy tracing engine still reachable via flag/failure fallback,Mode registry + grep (findings task 4),Deterministic,findings/product-code.md,Iterative engine migrations never cleaned up,Mode registry; tracing engines,Confusion + regression risk; children could reach unpolished modes by shared URL,Remove dead TracingMode v2; decide ship-or-remove for hidden modes; keep legacy fallback only behind explicit admin flag,None,S-M,Unknown mode param -> menu; registry test,n/a,Frontend
DIA-025,Classroom E2E unproven on current infra: zero real usage since 14 Jul,UNVERIFIED (release gate),P1,yes,Teachers + students in September,Production (client+DB+realtime),Lookback: last class session + join 2026-07-14,Teacher/student state consistency proven end-to-end on current production before school use,"Infra verified healthy (grants, publications, clean 24h logs) and client logic strong at code level, but no live two-context session has run in a month; class_join v2 server + pre-PR#11 client combination never observed under real classroom load",n/a - this is an absence of evidence; the required test is in the acceptance plan,n/a,findings/data-billing.md (zero class_* events after 14 Jul); findings/database.md realtime checks,Founder away for a month; no synthetic classroom monitor exists,Whole classroom stack,The single most school-critical flow has no current runtime evidence - a September failure would surface in front of a class,Run the mandatory live two-context classroom test (acceptance plan item 1) on school-grade hardware; optionally add a weekly synthetic classroom smoke,Best run AFTER DIA-001 redeploy so it validates the term build,S (half a day of manual testing),Acceptance plan item 1 checklist all green with evidence,n/a,QA
DIA-026,Teacher nav/rejoin UX (PR #11) missing from production client,VERIFIED,P2,no,Teachers,Production client,Since 20 Jul promote,"Console<->dashboard nav links, 'Back to dashboard' that navigates, 'Start another class', live-class banner, roster-link UI (all shipped 16 Jul)","Absent at 6a81fdf (merge-base predates PR #11); server-side reclaim/roster-link works, but its teacher-facing UI/nav doesn't exist",git show 6a81fdf: files from 8a5d80c absent,Deterministic,git ancestry (baseline ledger),DIA-001 (RC-1),"TeacherClassConsole, dashboard nav","Teachers face the exact confusion the 16 Jul fixes solved (dead-end console, no path back to dashboard)",Ships automatically with DIA-001 merge/redeploy,DIA-001,Included in DIA-001,Manual: console nav paths work,Vercel rollback,Frontend
DIA-027,Two-teacher-tabs unguarded; free-tier class cap client-side only,VERIFIED,P2,no,Teachers,Production client + DB,At 6a81fdf,Single-writer semantics per session; caps enforced server-side,"Two teacher tabs can issue conflicting controls (last-write-wins, no takeover warning); class/learner caps checked only in client",Code review of console session handling,Deterministic (code),findings/product-code.md task 5,Not designed for multi-tab; caps added client-side for speed,TeacherClassConsole; session RPCs,Confusing classroom state if a teacher opens a second tab (projector + laptop is a realistic setup); cap bypass trivial,Session-holder heartbeat with takeover prompt; move cap checks into class-create/join RPCs,Small migration for RPC caps,M,Two-tab manual test; RPC cap unit test,Flag,Full-stack
DIA-029,Analytics ingest outages not self-detecting; 0 events in last ~28h unconfirmed,VERIFIED (gap); current silence UNVERIFIED cause,P2,no,Founder,Production analytics pipeline,Gap design-level; silence from 2026-08-14 17:03 UTC,Ingest death alerts within hours (like billing-health does for Stripe),"Anomaly check fires on spikes only and counts a session_started event that no longer exists; only passive signal is the 07:00 digest; last event 14 Aug 17:03 UTC with 0 since (~28h at audit) - plausibly a quiet Saturday at 3-13 sessions/day, but indistinguishable from a dead pipe",SELECT max(created_at) FROM analytics events table; read anomaly-check function,Deterministic (gap),findings/data-billing.md sections 4+8,RC-2/RC-6,Ingest RPCs; digest edge function,A repeat of the 13-day June/July silent outage would again be found only by manual inspection,"Manual smoke test now (open /play, verify event lands); add zero-events-in-24h alarm + fix the retired event name in the anomaly check",Digest function update,S,Induced quiet window fires alert; smoke event visible in table,n/a,Data engineering
DIA-030,learning_attempts empty since 10 Jul (item_dropped-only writer),VERIFIED,P2,no,Teachers/parents (progress reports); adaptive roadmap,Production client,Last attempt row 2026-07-10,Learning attempts recorded from real learning events across modes,Deployed client writes learning_attempts only from item_dropped (analytics.ts:1570); no deployed mode emits it in the lookback -> table empty since 10 Jul while 37 tracing completions flowed,SELECT max(created_at) FROM learning_attempts; grep analytics.ts:1570,Deterministic,findings/data-billing.md section 6,RC-6: WIN_EVENTS mirror narrowed by the mastery-honesty fix; content-event wiring never completed on this lineage,analytics.ts attempts mirror; mastery pipeline; dashboards,Progress/mastery reporting silently frozen - a teacher checking September progress sees nothing new,"Mirror attempts from the real per-item content events (tracing letter results, sort placements etc.) with item_kind=content",None (client); verify mastery views pick rows up,M,Play one tracing letter -> attempts row with content key,Event-level flag,Data engineering
DIA-031,refresh-materialized-views cron failing nightly (teacher stats stale),VERIFIED,P2,no,Teachers/admin,Supabase cron,30/30 failed nights in window,Nightly refresh succeeds or is removed,Job errors because v_teacher_session_stats is no longer a materialized view; teacher/school stats pipeline dead,cron.job_run_details for the job,30/30,findings/data-billing.md cron section,RC-2: schema refactor didn't update the job,cron; v_teacher_session_stats consumers,Stale teacher-facing stats; nightly error noise masking real failures,Update the job to refresh only current matviews (or delete it if none remain),Cron edit,S,Next run succeeds,n/a,Database engineering
DIA-032,38% of mode_started orphaned (tutorial 86%); idle-timeout fix undeployed,VERIFIED,P2,no,Founder (metrics honesty),Production analytics,Lookback measurement,Attempts reach a terminal outcome (completed/abandoned/timed_out),"38% of mode_started rows have no terminal event (tutorial 86%) - walk-aways inflate time-on-task and hide drop-off; the finished fix (PR #8 feat/attempt-idle-timeout, 1f142b7) was never deployed",Orphan-rate query in findings; git branch state,Deterministic,findings/data-billing.md section 5,RC-1 (undeployed fix) + RC-6,analytics heartbeat; PR #8,Engagement/attainment numbers untrustworthy for pilot evidence,Rebase + ship PR #8 with the term release,DIA-001 merge train,S (rebase+test),Parked tab -> timed_out within configured window,localStorage kill switch already in the branch,Frontend/data
DIA-033,Lint debt grew 9->11 errors incl. rules-of-hooks in shipped admin code,VERIFIED,P3,no,Maintainers,Repo,At 6a81fdf,Lint green (it gates check-task.sh),"11 errors/298 warnings; new conditional-hook error at InsightsDashboard.tsx:217 (mount-constant, low runtime risk)",npm run lint,Deterministic,findings/build.md,RC-1 (red gate normalised),ESLint config + 11 sites,Keeps DIA-003 unfixable; hook-order bugs can ship unnoticed,Dedicated lint-fix PR (per CLAUDE.md intent),None,S-M,lint exit 0 required in CI,n/a,Frontend
